loss,params,iteration,estimators,train_time
2.076463671640335,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7960869419863507, 'learning_rate': 0.04152275852193001, 'min_child_samples': 400, 'num_leaves': 60, 'reg_alpha': 0.03546792427324909, 'reg_lambda': 0.33985395772896987, 'subsample_for_bin': 140000, 'subsample': 0.8744140245557585}",46,105,3.4362289590062574

2.0553892572372314,"{'boosting_type': 'dart', 'colsample_bytree': 0.6000700254914143, 'learning_rate': 0.05792785699969602, 'min_child_samples': 435, 'num_leaves': 105, 'reg_alpha': 0.3030913026484061, 'reg_lambda': 0.7542352119460671, 'subsample_for_bin': 40000, 'subsample': 0.5644142961319242}",47,245,6.121121475996915

2.2661891616326746,"{'boosting_type': 'goss', 'colsample_bytree': 0.9233590737893607, 'learning_rate': 0.17522695869126134, 'min_child_samples': 25, 'num_leaves': 141, 'reg_alpha': 0.5391876735451002, 'reg_lambda': 0.09556106971563688, 'subsample_for_bin': 120000, 'subsample': 1.0}",48,5,5.216232103004586

2.055541762848218,"{'boosting_type': 'dart', 'colsample_bytree': 0.7508617438432008, 'learning_rate': 0.10353092492154366, 'min_child_samples': 295, 'num_leaves': 121, 'reg_alpha': 0.370130916844049, 'reg_lambda': 0.4056551395178655, 'subsample_for_bin': 280000, 'subsample': 0.7542443854537526}",49,116,5.455032195983222

2.078501512293666,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8369077964260393, 'learning_rate': 0.03536211308619196, 'min_child_samples': 325, 'num_leaves': 60, 'reg_alpha': 0.4357852880670919, 'reg_lambda': 0.6567760281394481, 'subsample_for_bin': 100000, 'subsample': 0.6409177754861743}",50,108,4.471321866993094

2.4606182239374,"{'boosting_type': 'dart', 'colsample_bytree': 0.6427913262405169, 'learning_rate': 0.014063166540794583, 'min_child_samples': 145, 'num_leaves': 130, 'reg_alpha': 0.9099437566220328, 'reg_lambda': 0.5897368417791471, 'subsample_for_bin': 200000, 'subsample': 0.9331368546358876}",51,57,5.869316890981281

2.06981204443204,"{'boosting_type': 'dart', 'colsample_bytree': 0.6922660212163512, 'learning_rate': 0.1295202288547153, 'min_child_samples': 85, 'num_leaves': 48, 'reg_alpha': 0.10048411656306054, 'reg_lambda': 0.46367207997008114, 'subsample_for_bin': 60000, 'subsample': 0.7866822411192548}",52,134,16.485106367006665

2.2381961260217085,"{'boosting_type': 'goss', 'colsample_bytree': 0.9533077075762498, 'learning_rate': 0.11669035817853744, 'min_child_samples': 230, 'num_leaves': 73, 'reg_alpha': 0.6814314441371001, 'reg_lambda': 0.9353408152687905, 'subsample_for_bin': 260000, 'subsample': 1.0}",53,8,1.0862888820120133

2.0557204675391403,"{'boosting_type': 'dart', 'colsample_bytree': 0.8137301013011043, 'learning_rate': 0.08101211419925379, 'min_child_samples': 180, 'num_leaves': 34, 'reg_alpha': 0.23618768272873447, 'reg_lambda': 0.5498380655938268, 'subsample_for_bin': 180000, 'subsample': 0.9755496673867811}",54,185,11.591943709005136

2.0811822876009365,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.620256317761364, 'learning_rate': 0.14990635267233843, 'min_child_samples': 360, 'num_leaves': 110, 'reg_alpha': 0.18028232746811612, 'reg_lambda': 0.3897941728550532, 'subsample_for_bin': 160000, 'subsample': 0.877630469985544}",55,22,2.1344697879976593

2.0622863227943915,"{'boosting_type': 'dart', 'colsample_bytree': 0.854709933777981, 'learning_rate': 0.1719369662332911, 'min_child_samples': 215, 'num_leaves': 87, 'reg_alpha': 0.11649910280136723, 'reg_lambda': 0.17740129677180788, 'subsample_for_bin': 200000, 'subsample': 0.8609870853801785}",56,49,5.051491742982762

2.0572710708876736,"{'boosting_type': 'dart', 'colsample_bytree': 0.7228078567270915, 'learning_rate': 0.05425712106447661, 'min_child_samples': 495, 'num_leaves': 52, 'reg_alpha': 0.7444432328993184, 'reg_lambda': 0.3070245291553363, 'subsample_for_bin': 240000, 'subsample': 0.9198522889297662}",57,335,7.84027417798643

2.230285951099401,"{'boosting_type': 'goss', 'colsample_bytree': 0.8853099279225457, 'learning_rate': 0.04109553852934176, 'min_child_samples': 115, 'num_leaves': 145, 'reg_alpha': 0.3214619709581093, 'reg_lambda': 0.09982262450114032, 'subsample_for_bin': 220000, 'subsample': 1.0}",58,24,3.1606868359958753

2.191276762749558,"{'boosting_type': 'dart', 'colsample_bytree': 0.7819469092031005, 'learning_rate': 0.03232915469151942, 'min_child_samples': 465, 'num_leaves': 117, 'reg_alpha': 0.01271913178494144, 'reg_lambda': 0.4342654078042898, 'subsample_for_bin': 100000, 'subsample': 0.6634277819325524}",59,57,2.6448303229990415

2.054109890976746,"{'boosting_type': 'dart', 'colsample_bytree': 0.6990197419850216, 'learning_rate': 0.09626165787260188, 'min_child_samples': 265, 'num_leaves': 81, 'reg_alpha': 0.07355906770761587, 'reg_lambda': 0.04495904097712855, 'subsample_for_bin': 140000, 'subsample': 0.9931808773420521}",60,135,6.278873018978629

2.077024115959015,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8048312897365245, 'learning_rate': 0.19774456825957892, 'min_child_samples': 305, 'num_leaves': 63, 'reg_alpha': 0.6348782994047364, 'reg_lambda': 0.6752544787274728, 'subsample_for_bin': 180000, 'subsample': 0.7727538768683132}",61,20,2.899982599017676

2.0518853258501863,"{'boosting_type': 'dart', 'colsample_bytree': 0.6541892668610934, 'learning_rate': 0.06264533622278924, 'min_child_samples': 235, 'num_leaves': 46, 'reg_alpha': 0.19946591371276087, 'reg_lambda': 0.7300495759652491, 'subsample_for_bin': 20000, 'subsample': 0.7364946827514811}",62,223,9.334095458005322

2.3006107364687596,"{'boosting_type': 'dart', 'colsample_bytree': 0.6786647204990963, 'learning_rate': 0.02200624869389147, 'min_child_samples': 285, 'num_leaves': 41, 'reg_alpha': 0.26092407290662023, 'reg_lambda': 0.2602579940481263, 'subsample_for_bin': 120000, 'subsample': 0.8884703150732204}",63,57,3.4124722949927673

2.246417822172515,"{'boosting_type': 'goss', 'colsample_bytree': 0.7581387094752227, 'learning_rate': 0.07290241973970728, 'min_child_samples': 335, 'num_leaves': 138, 'reg_alpha': 0.13209184798085088, 'reg_lambda': 0.21221618643449186, 'subsample_for_bin': 80000, 'subsample': 1.0}",64,13,1.3445985120197292

2.4260319650902695,"{'boosting_type': 'dart', 'colsample_bytree': 0.7328518919072546, 'learning_rate': 0.015425685456056647, 'min_child_samples': 155, 'num_leaves': 30, 'reg_alpha': 0.8500662615571496, 'reg_lambda': 0.34270467369222235, 'subsample_for_bin': 300000, 'subsample': 0.5007141579475096}",65,57,6.166916172020137

2.0536799439615843,"{'boosting_type': 'dart', 'colsample_bytree': 0.6248237323210386, 'learning_rate': 0.06566846674801678, 'min_child_samples': 250, 'num_leaves': 47, 'reg_alpha': 0.19835555856664408, 'reg_lambda': 0.8697766199989097, 'subsample_for_bin': 20000, 'subsample': 0.7347794424442415}",66,244,9.704858304001391

2.0506677348530147,"{'boosting_type': 'dart', 'colsample_bytree': 0.6562019862953299, 'learning_rate': 0.11173274305102893, 'min_child_samples': 235, 'num_leaves': 57, 'reg_alpha': 0.0009985183692777927, 'reg_lambda': 0.7581879122513973, 'subsample_for_bin': 40000, 'subsample': 0.785611304604933}",67,76,4.660903997020796

2.051473716488815,"{'boosting_type': 'dart', 'colsample_bytree': 0.6603442616349432, 'learning_rate': 0.11025113494083096, 'min_child_samples': 195, 'num_leaves': 70, 'reg_alpha': 0.029393117479420694, 'reg_lambda': 0.6155175064392306, 'subsample_for_bin': 60000, 'subsample': 0.7868474970391408}",68,52,4.614759418007452

